id,defects
101763,0.35
101764,0.27
101765,0.66
101766,0.63
101767,0.31
101768,0.5
101769,0.45
101770,0.53
101771,0.55
101772,0.12
101773,0.55
101774,0.61
101775,0.43
101776,0.58
101777,0.27
101778,0.45
101779,0.59
101780,0.22
101781,0.82
101782,0.3
101783,0.12
101784,0.21
101785,0.02
101786,0.37
101787,0.14
101788,0.41
101789,0.23
101790,0.3
101791,0.03
101792,0.28
101793,0.32
101794,0.35
101795,0.14
101796,0.11
101797,0.06
101798,0.33
101799,0.64
101800,0.37
101801,0.3
101802,0.28
101803,0.45
101804,0.22
101805,0.1
101806,0.46
101807,0.68
101808,0.2
101809,0.11
101810,0.35
101811,0.11
101812,0.36
101813,0.29
101814,0.1
101815,0.43
101816,0.21
101817,0.29
101818,0.23
101819,0.41
101820,0.25
101821,0.06
101822,0.41
101823,0.39
101824,0.19
101825,0.34
101826,0.2
101827,0.07
101828,0.14
101829,0.36
101830,0.28
101831,0.35
101832,0.43
101833,0.73
101834,0.38
101835,0.36
101836,0.5
101837,0.32
101838,0.35
101839,0.68
101840,0.08
101841,0.85
101842,0.4
101843,0.24
101844,0.12
101845,0.52
101846,0.23
101847,0.24
101848,0.44
101849,0.25
101850,0.32
101851,0.2
101852,0.23
101853,0.56
101854,0.49
101855,0.34
101856,0.67
101857,0.04
101858,0.04
101859,0.22
101860,0.42
101861,0.39
101862,0.27
101863,0.37
101864,0.41
101865,0.22
101866,0.21
101867,0.44
101868,0.2
101869,0.18
101870,0.37
101871,0.79
101872,0.19
101873,0.17
101874,0.33
101875,0.24
101876,0.53
101877,0.16
101878,0.17
101879,0.22
101880,0.31
101881,0.25
101882,0.14
101883,0.67
101884,0.41
101885,0.14
101886,0.39
101887,0.36
101888,0.31
101889,0.4
101890,0.09
101891,0.47
101892,0.2
101893,0.41
101894,0.14
101895,0.21
101896,0.24
101897,0.51
101898,0.58
101899,0.77
101900,0.25
101901,0.49
101902,0.23
101903,0.28
101904,0.31
101905,0.53
101906,0.1
101907,0.28
101908,0.07
101909,0.36
101910,0.4
101911,0.23
101912,0.13
101913,0.04
101914,0.32
101915,0.12
101916,0.66
101917,0.13
101918,0.42
101919,0.2
101920,0.12
101921,0.21
101922,0.31
101923,0.24
101924,0.25
101925,0.34
101926,0.51
101927,0.15
101928,0.31
101929,0.22
101930,0.31
101931,0.44
101932,0.19
101933,0.74
101934,0.28
101935,0.34
101936,0.36
101937,0.7
101938,0.7
101939,0.2
101940,0.42
101941,0.1
101942,0.14
101943,0.44
101944,0.27
101945,0.22
101946,0.11
101947,0.19
101948,0.32
101949,0.28
101950,0.65
101951,0.9
101952,0.26
101953,0.3
101954,0.11
101955,0.58
101956,0.27
101957,0.18
101958,0.62
101959,0.43
101960,0.64
101961,0.4
101962,0.55
101963,0.22
101964,0.25
101965,0.29
101966,0.47
101967,0.31
101968,0.13
101969,0.36
101970,0.64
101971,0.18
101972,0.25
101973,0.34
101974,0.35
101975,0.34
101976,0.3
101977,0.25
101978,0.09
101979,0.38
101980,0.19
101981,0.12
101982,0.13
101983,0.24
101984,0.15
101985,0.36
101986,0.31
101987,0.39
101988,0.59
101989,0.29
101990,0.46
101991,0.48
101992,0.14
101993,0.47
101994,0.17
101995,0.02
101996,0.39
101997,0.34
101998,0.19
101999,0.21
102000,0.28
102001,0.33
102002,0.65
102003,0.35
102004,0.32
102005,0.34
102006,0.26
102007,0.68
102008,0.21
102009,0.44
102010,0.09
102011,0.24
102012,0.37
102013,0.13
102014,0.1
102015,0.32
102016,0.33
102017,0.25
102018,0.76
102019,0.14
102020,0.82
102021,0.66
102022,0.28
102023,0.32
102024,0.11
102025,0.22
102026,0.37
102027,0.05
102028,0.08
102029,0.22
102030,0.42
102031,0.21
102032,0.17
102033,0.27
102034,0.22
102035,0.24
102036,0.35
102037,0.3
102038,0.63
102039,0.35
102040,0.47
102041,0.34
102042,0.27
102043,0.14
102044,0.47
102045,0.37
102046,0.32
102047,0.5
102048,0.15
102049,0.24
102050,0.45
102051,0.46
102052,0.29
102053,0.5
102054,0.22
102055,0.45
102056,0.42
102057,0.06
102058,0.2
102059,0.43
102060,0.42
102061,0.44
102062,0.35
102063,0.32
102064,0.61
102065,0.26
102066,0.14
102067,0.15
102068,0.17
102069,0.22
